Test,Pokedex,Name,Fast,Special,Usless,Eff%,Eff%_Def,TDO,def_TDO
515,89,Muk,Poison Jab,Sludge Wave,,99%,95%,259,182
197,36,Clefable,Pound,Moonblast,,100%,71%,230,141
18,3,Venusaur,Vine Whip,Solar Beam,,100%,79%,259,170
35,6,Charizard,Wing Attack,Dragon Claw,,89%,78%,222,138
559,97,Hypno,Zen Headbutt,Psychic,,100%,93%,205,166
750,130,Gyarados,Bite,Hydro Pump,,100%,94%,277,159
815,143,Snorlax,Lick,Hyper Beam,,100%,91%,391,271
200,36,Clefable,Zen Headbutt,Moonblast,,87%,76%,200,150
165,31,Nidoqueen,Poison Jab,Earthquake,,99%,100%,249,185
17,3,Venusaur,Vine Whip,Petal Blizzard,,95%,87%,247,186
16,3,Venusaur,Vine Whip,Sludge Bomb,,95%,81%,246,174
817,144,Articuno,Frost Breath,Ice Beam,,92%,100%,304,225
458,80,Slowbro,Water Gun,Ice Beam,,86%,76%,243,171
456,80,Slowbro,Water Gun,Water Pulse,41,86%,88%,243,197
333,59,Arcanine,Fire Fang,Fire Blast,,100%,94%,303,209
814,143,Snorlax,Lick,Body Slam,,96%,85%,378,252
820,145,Zapdos,Thunder Shock,Discharge,,82%,97%,239,203
813,143,Snorlax,Zen Headbutt,Earthquake,,84%,82%,327,244
562,97,Hypno,Confusion,Psychic,,93%,100%,190,178
15,3,Venusaur,Razor Leaf,Solar Beam,,92%,95%,237,203
196,36,Clefable,Pound,Psychic,,91%,76%,209,149
461,80,Slowbro,Confusion,Ice Beam,,74%,90%,210,202
511,89,Muk,Lick,Gunk Shot,,90%,68%,235,131
512,89,Muk,Lick,Sludge Wave,,89%,70%,234,135
459,80,Slowbro,Confusion,Water Pulse,,66%,95%,187,213
199,36,Clefable,Zen Headbutt,Psychic,,81%,79%,186,155
755,131,Lapras,Frost Breath,Blizzard,,100%,79%,362,242
558,97,Hypno,Zen Headbutt,Psyshock,,90%,94%,185,168
166,31,Nidoqueen,Poison Jab,Sludge Wave,,91%,87%,230,161
168,31,Nidoqueen,Bite,Earthquake,,100%,82%,252,152
766,134,Vaporeon,Water Gun,Water Pulse,69,82%,100%,287,259
14,3,Venusaur,Razor Leaf,Petal Blizzard,,89%,100%,229,214
749,130,Gyarados,Dragon Breath,Dragon Pulse,,83%,100%,229,169
13,3,Venusaur,Razor Leaf,Sludge Bomb,,88%,95%,227,204
334,59,Arcanine,Fire Fang,Flamethrower,,94%,100%,283,223
195,36,Clefable,Pound,Dazzling Gleam,,83%,100%,191,197
513,89,Muk,Poison Jab,Dark Pulse,,86%,100%,225,193
183,34,Nidoking,Poison Jab,Earthquake,,100%,100%,225,172
198,36,Clefable,Zen Headbutt,Dazzling Gleam,,78%,100%,179,197
232,42,Golbat,Wing Attack,Air Cutter,17,100%,89%,142,119
231,42,Golbat,Wing Attack,Poison Fang,,100%,100%,142,134
233,42,Golbat,Wing Attack,Ominous Wind,,100%,78%,142,104
51,9,Blastoise,Water Gun,Hydro Pump,,100%,84%,277,146
758,131,Lapras,Ice Shard,Blizzard,,95%,93%,345,284
31,6,Charizard,Ember,Fire Blast,,88%,94%,219,167
250,45,Vileplume,Razor Leaf,Solar Beam,,100%,95%,218,188
253,45,Vileplume,Acid,Solar Beam,,100%,85%,217,170
336,59,Arcanine,Bite,Fire Blast,,98%,82%,295,183
560,97,Hypno,Zen Headbutt,Shadow Ball,,84%,85%,172,151
561,97,Hypno,Confusion,Psyshock,,84%,100%,172,178
816,143,Snorlax,Lick,Earthquake,,86%,71%,336,211
703,121,Starmie,Water Gun,Psychic,,95%,98%,186,127
754,131,Lapras,Frost Breath,Ice Beam,,92%,89%,332,271
167,31,Nidoqueen,Poison Jab,Stone Edge,,91%,85%,229,157
752,130,Gyarados,Bite,Dragon Pulse,,83%,100%,229,169
249,45,Vileplume,Razor Leaf,Petal Blizzard,,97%,100%,210,199
818,144,Articuno,Frost Breath,Icy Wind,72,79%,78%,262,176
417,73,Tentacruel,Poison Jab,Hydro Pump,,100%,100%,209,151
252,45,Vileplume,Acid,Petal Blizzard,,96%,92%,209,183
404,71,Victreebel,Razor Leaf,Solar Beam,,100%,98%,208,189
184,34,Nidoking,Poison Jab,Sludge Wave,,92%,87%,208,149
407,71,Victreebel,Acid,Solar Beam,,100%,90%,207,173
33,6,Charizard,Ember,Flamethrower,,83%,100%,207,178
221,40,Wigglytuff,Pound,Play Rough,,91%,100%,225,232
748,130,Gyarados,Dragon Breath,Twister,66,74%,96%,205,162
757,131,Lapras,Ice Shard,Ice Beam,,88%,100%,320,305
169,31,Nidoqueen,Bite,Sludge Wave,,91%,68%,228,125
337,59,Arcanine,Bite,Flamethrower,,90%,91%,274,203
403,71,Victreebel,Razor Leaf,Sludge Bomb,,96%,100%,200,192
251,45,Vileplume,Razor Leaf,Moonblast,,84%,74%,182,148
220,40,Wigglytuff,Pound,Hyper Beam,,100%,95%,248,220
419,73,Tentacruel,Poison Jab,Blizzard,,95%,94%,198,142
406,71,Victreebel,Acid,Sludge Bomb,,95%,93%,198,179
335,59,Arcanine,Fire Fang,Bulldoze,,81%,84%,245,188
418,73,Tentacruel,Poison Jab,Sludge Wave,,94%,90%,196,137
254,45,Vileplume,Acid,Moonblast,,82%,65%,178,129
87,18,Pidgeot,Wing Attack,Hurricane,,100%,87%,196,126
701,121,Starmie,Water Gun,Hydro Pump,,100%,84%,195,110
402,71,Victreebel,Razor Leaf,Leaf Blade,,93%,98%,195,189
545,94,Gengar,Shadow Claw,Sludge Bomb,,100%,95%,155,130
354,62,Poliwrath,Mud Shot,Hydro Pump,,100%,59%,242,142
405,71,Victreebel,Acid,Leaf Blade,,92%,91%,193,176
351,62,Poliwrath,Bubble,Hydro Pump,,100%,100%,241,240
753,131,Lapras,Frost Breath,Dragon Pulse,,83%,77%,300,236
414,73,Tentacruel,Acid,Hydro Pump,,91%,93%,191,140
32,6,Charizard,Ember,Dragon Claw,,77%,78%,190,139
185,34,Nidoking,Poison Jab,Megahorn,,91%,84%,204,145
310,55,Golduck,Water Gun,Hydro Pump,,100%,90%,237,140
186,34,Nidoking,Fury Cutter,Earthquake,,90%,80%,202,138
563,97,Hypno,Confusion,Shadow Ball,,75%,89%,153,159
756,131,Lapras,Ice Shard,Dragon Pulse,,80%,88%,289,269
54,9,Blastoise,Bite,Hydro Pump,,91%,78%,252,136
309,55,Golduck,Water Gun,Psychic,,85%,90%,202,140
49,9,Blastoise,Water Gun,Flash Cannon,,82%,100%,228,175
50,9,Blastoise,Water Gun,Ice Beam,,82%,87%,228,151
274,49,Venomoth,Bug Bite,Psychic,,92%,76%,138,105
170,31,Nidoqueen,Bite,Stone Edge,,90%,65%,226,121
416,73,Tentacruel,Acid,Blizzard,,86%,87%,180,131
510,89,Muk,Lick,Dark Pulse,,69%,87%,180,167
415,73,Tentacruel,Acid,Sludge Wave,,85%,83%,177,125
635,110,Weezing,Acid,Sludge Bomb,,100%,100%,177,145
700,121,Starmie,Tackle,Psychic,,78%,100%,152,130
277,49,Venomoth,Confusion,Psychic,,73%,79%,110,110
638,110,Weezing,Tackle,Sludge Bomb,,96%,98%,169,142
219,40,Wigglytuff,Pound,Dazzling Gleam,,82%,89%,202,207
543,94,Gengar,Shadow Claw,Shadow Ball,,87%,100%,134,137
366,65,Alakazam,Psycho Cut,Psychic,,100%,93%,133,107
352,62,Poliwrath,Bubble,Submission,,86%,95%,207,229
542,94,Gengar,Sucker Punch,Sludge Bomb,,92%,88%,142,120
715,123,Scyther,Steel Wing,Bug Buzz,,94%,100%,152,154
751,130,Gyarados,Bite,Twister,,74%,96%,205,162
89,18,Pidgeot,Wing Attack,Air Cutter,10,83%,93%,163,135
88,18,Pidgeot,Wing Attack,Aerial Ace,9,83%,100%,163,145
389,68,Machamp,Karate Chop,Cross Chop,,100%,78%,203,126
187,34,Nidoking,Fury Cutter,Sludge Wave,,79%,64%,177,110
224,40,Wigglytuff,Feint Attack,Play Rough,,76%,86%,189,200
355,62,Poliwrath,Mud Shot,Submission,,84%,64%,202,153
712,123,Scyther,Fury Cutter,Bug Buzz,,100%,92%,161,141
772,136,Flareon,Ember,Fire Blast,,100%,93%,200,154
702,121,Starmie,Water Gun,Power Gem,,82%,85%,160,110
714,123,Scyther,Steel Wing,X Scissor,,89%,92%,143,141
544,94,Gengar,Shadow Claw,Dark Pulse,,82%,81%,127,111
313,55,Golduck,Confusion,Hydro Pump,,74%,99%,176,154
312,55,Golduck,Confusion,Psychic,,66%,97%,156,151
311,55,Golduck,Water Gun,Ice Beam,,82%,94%,194,146
698,121,Starmie,Tackle,Hydro Pump,,78%,89%,153,115
53,9,Blastoise,Bite,Ice Beam,,75%,82%,207,143
353,62,Poliwrath,Bubble,Ice Punch,,79%,86%,190,205
708,122,Mr. Mime,Zen Headbutt,Psychic,,100%,93%,97,79
773,136,Flareon,Ember,Flamethrower,,95%,100%,190,164
711,123,Scyther,Fury Cutter,X Scissor,,95%,86%,152,133
223,40,Wigglytuff,Feint Attack,Hyper Beam,,83%,82%,205,190
275,49,Venomoth,Bug Bite,Bug Buzz,,100%,99%,150,137
774,136,Flareon,Ember,Heat Wave,,92%,84%,185,138
222,40,Wigglytuff,Feint Attack,Dazzling Gleam,,65%,93%,162,216
278,49,Venomoth,Confusion,Bug Buzz,,83%,100%,125,139
212,38,Ninetales,Ember,Fire Blast,,100%,94%,184,138
540,94,Gengar,Sucker Punch,Shadow Ball,,79%,96%,123,131
388,68,Machamp,Karate Chop,Submission,,89%,99%,181,159
90,18,Pidgeot,Steel Wing,Hurricane,,83%,91%,162,132
52,9,Blastoise,Bite,Flash Cannon,,69%,97%,192,169
367,65,Alakazam,Psycho Cut,Dazzling Gleam,,87%,85%,115,98
368,65,Alakazam,Psycho Cut,Shadow Ball,,87%,85%,115,98
386,68,Machamp,Bullet Punch,Cross Chop,,88%,82%,180,131
235,42,Golbat,Bite,Air Cutter,,86%,86%,123,116
369,65,Alakazam,Confusion,Psychic,,86%,100%,114,114
263,47,Parasect,Bug Bite,Solar Beam,,100%,93%,155,101
713,123,Scyther,Steel Wing,Night Slash,,70%,76%,113,116
705,122,Mr. Mime,Confusion,Psychic,,93%,100%,90,85
648,112,Rhydon,Mud Slap,Earthquake,,100%,100%,220,186
500,87,Dewgong,Frost Breath,Blizzard,,100%,83%,220,146
791,139,Omastar,Water Gun,Hydro Pump,,100%,75%,219,121
211,38,Ninetales,Ember,Flamethrower,,95%,100%,174,147
356,62,Poliwrath,Mud Shot,Ice Punch,,72%,62%,173,149
387,68,Machamp,Karate Chop,Stone Edge,,93%,77%,190,124
188,34,Nidoking,Fury Cutter,Megahorn,,76%,60%,172,104
636,110,Weezing,Acid,Shadow Ball,,78%,90%,137,130
437,76,Golem,Mud Slap,Earthquake,,100%,100%,214,173
210,38,Ninetales,Ember,Heat Wave,,93%,84%,170,124
314,55,Golduck,Confusion,Ice Beam,,65%,100%,153,155
338,59,Arcanine,Bite,Bulldoze,,70%,80%,211,179
150,28,Sandslash,Mud Shot,Earthquake,,100%,87%,168,107
503,87,Dewgong,Ice Shard,Blizzard,,95%,98%,209,171
234,42,Golbat,Bite,Poison Fang,,86%,97%,123,130
385,68,Machamp,Bullet Punch,Submission,,82%,100%,166,161
276,49,Venomoth,Confusion,Poison Fang,,63%,94%,95,130
639,110,Weezing,Tackle,Shadow Ball,,75%,88%,132,128
447,78,Rapidash,Ember,Fire Blast,,100%,98%,164,128
728,126,Magmar,Ember,Fire Blast,,100%,90%,164,130
637,110,Weezing,Acid,Dark Pulse,,74%,86%,131,124
209,38,Ninetales,Feint Attack,Fire Blast,,99%,93%,182,136
771,135,Jolteon,Thunder Shock,Thunder,,100%,88%,163,110
11,2,Ivysaur,Vine Whip,Solar Beam,,100%,87%,130,95
72,15,Beedrill,Poison Jab,Sludge Bomb,,93%,93%,104,97
69,15,Beedrill,Bug Bite,Sludge Bomb,,100%,99%,112,103
273,49,Venomoth,Bug Bite,Poison Fang,,86%,87%,129,121
266,47,Parasect,Fury Cutter,Solar Beam,,89%,89%,138,97
810,142,Aerodactyl,Bite,Hyper Beam,,100%,81%,176,120
770,135,Jolteon,Thunder Shock,Thunderbolt,,98%,100%,161,125
60,12,Butterfree,Bug Bite,Psychic,,93%,77%,97,78
649,112,Rhydon,Mud Slap,Stone Edge,,99%,94%,218,176
707,122,Mr. Mime,Zen Headbutt,Psybeam,63,84%,94%,82,80
709,122,Mr. Mime,Zen Headbutt,Shadow Ball,,84%,85%,82,72
147,28,Sandslash,Metal Claw,Earthquake,,95%,86%,159,106
208,38,Ninetales,Feint Attack,Flamethrower,,94%,99%,172,145
724,125,Electabuzz,Thunder Shock,Thunder,,100%,79%,156,109
435,76,Golem,Mud Slap,Stone Edge,,99%,94%,212,163
807,142,Aerodactyl,Steel Wing,Hyper Beam,,88%,92%,156,136
730,126,Magmar,Ember,Flamethrower,,95%,97%,156,141
10,2,Ivysaur,Vine Whip,Sludge Bomb,,95%,91%,124,100
735,127,Pinsir,Rock Smash,X Scissor,,92%,100%,139,138
384,68,Machamp,Bullet Punch,Stone Edge,,83%,80%,170,129
723,125,Electabuzz,Thunder Shock,Thunderbolt,,98%,91%,154,126
651,112,Rhydon,Rock Smash,Earthquake,,87%,90%,192,168
236,42,Golbat,Bite,Ominous Wind,,86%,75%,123,100
444,78,Rapidash,Low Kick,Fire Blast,,93%,82%,153,107
12,2,Ivysaur,Vine Whip,Power Whip,,94%,69%,122,76
449,78,Rapidash,Ember,Heat Wave,,92%,87%,152,114
738,127,Pinsir,Fury Cutter,X Scissor,,100%,93%,151,128
788,139,Omastar,Mud Shot,Hydro Pump,,86%,69%,189,111
640,110,Weezing,Tackle,Dark Pulse,,70%,84%,123,122
63,12,Butterfree,Confusion,Psychic,,73%,77%,77,78
207,38,Ninetales,Feint Attack,Heat Wave,,91%,83%,168,122
243,44,Gloom,Razor Leaf,Petal Blizzard,,100%,100%,119,119
8,2,Ivysaur,Razor Leaf,Solar Beam,,91%,98%,119,107
452,79,Slowpoke,Water Gun,Psychic,,100%,100%,104,107
246,44,Gloom,Acid,Petal Blizzard,,100%,94%,119,111
647,112,Rhydon,Mud Slap,Megahorn,,91%,85%,200,158
244,44,Gloom,Razor Leaf,Sludge Bomb,,99%,95%,118,113
140,26,Raichu,Spark,Thunder,,100%,81%,148,106
247,44,Gloom,Acid,Sludge Bomb,,99%,88%,118,105
736,127,Pinsir,Rock Smash,Submission,,77%,80%,116,110
792,139,Omastar,Water Gun,Rock Slide,,86%,100%,188,162
790,139,Omastar,Water Gun,Ancient Power,,82%,86%,180,138
128,24,Arbok,Acid,Gunk Shot,,91%,89%,115,83
127,24,Arbok,Acid,Sludge Wave,,90%,90%,115,84
7,2,Ivysaur,Razor Leaf,Sludge Bomb,,88%,100%,114,109
722,125,Electabuzz,Thunder Shock,Thunder Punch,,91%,100%,143,138
434,76,Golem,Rock Throw,Earthquake,,92%,96%,196,166
727,125,Electabuzz,Low Kick,Thunder,,91%,75%,142,104
125,24,Arbok,Bite,Gunk Shot,,100%,78%,127,73
137,26,Raichu,Thunder Shock,Thunder,,96%,77%,142,101
661,114,Tangela,Vine Whip,Solar Beam,,100%,100%,142,106
91,18,Pidgeot,Steel Wing,Aerial Ace,,62%,100%,122,145
726,125,Electabuzz,Low Kick,Thunderbolt,,91%,88%,141,121
124,24,Arbok,Bite,Sludge Wave,,99%,80%,126,74
731,126,Magmar,Karate Chop,Fire Blast,,86%,75%,141,109
245,44,Gloom,Razor Leaf,Moonblast,,86%,73%,103,86
710,123,Scyther,Fury Cutter,Night Slash,,70%,72%,112,111
739,127,Pinsir,Fury Cutter,Submission,,80%,69%,121,95
729,126,Magmar,Ember,Fire Punch,,85%,100%,139,145
699,121,Starmie,Tackle,Power Gem,,61%,87%,118,113
446,78,Rapidash,Low Kick,Heat Wave,,84%,71%,139,93
248,44,Gloom,Acid,Moonblast,,84%,64%,100,76
164,30,Nidorina,Poison Sting,Sludge Bomb,,100%,98%,111,96
499,87,Dewgong,Frost Breath,Aqua Jet,,79%,95%,173,167
498,87,Dewgong,Frost Breath,Icy Wind,43,79%,71%,173,124
9,2,Ivysaur,Razor Leaf,Power Whip,,85%,82%,110,90
371,65,Alakazam,Confusion,Shadow Ball,,68%,89%,91,102
370,65,Alakazam,Confusion,Dazzling Gleam,,66%,89%,88,102
455,79,Slowpoke,Confusion,Psychic,,85%,90%,88,97
706,122,Mr. Mime,Confusion,Shadow Ball,,75%,89%,72,76
704,122,Mr. Mime,Confusion,Psybeam,62,72%,97%,70,82
45,8,Wartortle,Water Gun,Hydro Pump,,100%,80%,137,80
652,112,Rhydon,Rock Smash,Stone Edge,,85%,84%,188,157
663,115,Kangaskhan,Mud Slap,Earthquake,,100%,77%,170,141
436,76,Golem,Mud Slap,Ancient Power,,80%,96%,170,166
733,126,Magmar,Karate Chop,Flamethrower,,82%,85%,135,123
734,127,Pinsir,Rock Smash,Vice Grip,,71%,91%,108,125
397,70,Weepinbell,Razor Leaf,Sludge Bomb,,100%,92%,108,115
605,105,Marowak,Mud Slap,Earthquake,,100%,89%,135,109
139,26,Raichu,Spark,Thunder Punch,,91%,100%,135,131
769,135,Jolteon,Thunder Shock,Discharge,,82%,97%,135,122
400,70,Weepinbell,Acid,Sludge Bomb,,99%,89%,108,111
380,67,Machoke,Low Kick,Cross Chop,,100%,67%,134,83
725,125,Electabuzz,Low Kick,Thunder Punch,,85%,98%,133,135
666,115,Kangaskhan,Low Kick,Earthquake,,98%,60%,166,110
659,114,Tangela,Vine Whip,Power Whip,,94%,79%,133,84
664,115,Kangaskhan,Mud Slap,Stomp,,97%,100%,165,183
261,47,Parasect,Bug Bite,Cross Poison,,76%,93%,117,101
691,119,Seaking,Poison Jab,Megahorn,,100%,79%,144,106
74,15,Beedrill,Poison Jab,X Scissor,,84%,94%,95,99
676,117,Seadra,Water Gun,Hydro Pump,,100%,95%,132,85
831,148,Dragonair,Dragon Breath,Dragon Pulse,,100%,100%,132,114
59,12,Butterfree,Bug Bite,Bug Buzz,,100%,99%,105,101
152,28,Sandslash,Mud Shot,Bulldoze,13,78%,100%,131,124
151,28,Sandslash,Mud Shot,Rock Tomb,,78%,74%,131,91
806,142,Aerodactyl,Steel Wing,Iron Head,,74%,85%,131,127
92,18,Pidgeot,Steel Wing,Air Cutter,,61%,94%,120,136
73,15,Beedrill,Poison Jab,Aerial Ace,,74%,72%,83,75
262,47,Parasect,Bug Bite,X Scissor,,84%,99%,130,109
396,70,Weepinbell,Razor Leaf,Power Whip,,96%,72%,104,90
667,115,Kangaskhan,Low Kick,Stomp,,95%,93%,162,171
451,79,Slowpoke,Water Gun,Psyshock,,87%,90%,90,96
136,26,Raichu,Thunder Shock,Thunder Punch,,88%,98%,130,129
809,142,Aerodactyl,Bite,Iron Head,,81%,79%,143,117
737,127,Pinsir,Fury Cutter,Vice Grip,,74%,86%,111,118
379,67,Machoke,Low Kick,Brick Break,,96%,100%,129,125
62,12,Butterfree,Confusion,Bug Buzz,,83%,97%,87,99
688,119,Seaking,Peck,Megahorn,,86%,71%,123,96
399,70,Weepinbell,Acid,Power Whip,,95%,67%,103,83
502,87,Dewgong,Ice Shard,Aqua Jet,,73%,100%,161,175
501,87,Dewgong,Ice Shard,Icy Wind,44,73%,75%,161,132
321,57,Primeape,Low Kick,Cross Chop,,100%,61%,128,78
662,115,Kangaskhan,Mud Slap,Brick Break,,94%,80%,160,147
161,30,Nidorina,Bite,Sludge Bomb,,98%,100%,109,98
721,124,Jynx,Pound,Psyshock,,100%,100%,108,121
626,108,Lickitung,Zen Headbutt,Hyper Beam,,94%,85%,142,116
448,78,Rapidash,Ember,Drill Run,,76%,100%,126,131
539,93,Haunter,Lick,Sludge Bomb,,100%,100%,80,83
690,119,Seaking,Poison Jab,Drill Run,,87%,100%,125,134
398,70,Weepinbell,Razor Leaf,Seed Bomb,,93%,100%,100,124
71,15,Beedrill,Bug Bite,X Scissor,,89%,100%,100,105
583,101,Electrode,Spark,Thunderbolt,,100%,98%,125,98
650,112,Rhydon,Rock Smash,Megahorn,,77%,75%,170,140
536,93,Haunter,Shadow Claw,Sludge Bomb,,99%,91%,80,76
524,91,Cloyster,Frost Breath,Blizzard,,100%,85%,156,103
401,70,Weepinbell,Acid,Seed Bomb,,92%,99%,99,123
138,26,Raichu,Spark,Brick Break,,84%,79%,124,103
665,115,Kangaskhan,Low Kick,Brick Break,,91%,67%,155,123
674,117,Seadra,Water Gun,Blizzard,,94%,88%,124,78
687,119,Seaking,Peck,Drill Run,,79%,95%,114,128
718,124,Jynx,Frost Breath,Psyshock,,100%,96%,108,116
454,79,Slowpoke,Confusion,Psyshock,,76%,94%,79,101
432,76,Golem,Rock Throw,Stone Edge,,90%,89%,192,155
182,33,Nidorino,Poison Sting,Sludge Bomb,,100%,100%,98,89
732,126,Magmar,Karate Chop,Fire Punch,,75%,91%,123,132
745,128,Tauros,Zen Headbutt,Earthquake,,91%,81%,135,100
541,94,Gengar,Sucker Punch,Dark Pulse,,63%,76%,98,104
191,35,Clefairy,Pound,Moonblast,,100%,95%,87,65
489,85,Dodrio,Steel Wing,Drill Peck,,98%,100%,106,117
149,28,Sandslash,Metal Claw,Bulldoze,,72%,99%,121,122
148,28,Sandslash,Metal Claw,Rock Tomb,,72%,73%,121,91
660,114,Tangela,Vine Whip,Sludge Bomb,,85%,90%,121,95
506,88,Grimer,Poison Jab,Sludge Bomb,,100%,100%,97,97
383,67,Machoke,Karate Chop,Cross Chop,,90%,65%,121,81
805,142,Aerodactyl,Steel Wing,Ancient Power,,69%,100%,121,148
679,117,Seadra,Dragon Breath,Hydro Pump,,91%,90%,120,81
523,91,Cloyster,Frost Breath,Hydro Pump,,96%,81%,150,98
603,105,Marowak,Mud Slap,Bone Club,,89%,95%,120,116
830,148,Dragonair,Dragon Breath,Aqua Tail,,91%,75%,120,85
623,108,Lickitung,Lick,Hyper Beam,,100%,82%,150,112
382,67,Machoke,Karate Chop,Brick Break,,89%,93%,119,116
179,33,Nidorino,Poison Jab,Sludge Bomb,,97%,100%,95,90
527,91,Cloyster,Ice Shard,Blizzard,,95%,100%,149,121
264,47,Parasect,Fury Cutter,Cross Poison,,67%,94%,103,103
742,128,Tauros,Tackle,Earthquake,,100%,90%,148,111
584,101,Electrode,Spark,Hyper Beam,,94%,83%,118,82
801,141,Kabutops,Mud Shot,Stone Edge,,100%,75%,164,95
789,139,Omastar,Mud Shot,Rock Slide,,78%,96%,171,155
608,105,Marowak,Rock Smash,Earthquake,,87%,80%,118,98
61,12,Butterfree,Bug Bite,Signal Beam,,89%,100%,94,102
64,12,Butterfree,Confusion,Signal Beam,,76%,95%,79,97
829,148,Dragonair,Dragon Breath,Wrap,75,89%,53%,117,60
265,47,Parasect,Fury Cutter,X Scissor,,76%,100%,117,109
194,35,Clefairy,Zen Headbutt,Moonblast,,86%,90%,75,62
135,26,Raichu,Thunder Shock,Brick Break,,79%,76%,117,99
486,85,Dodrio,Feint Attack,Drill Peck,,100%,98%,108,115
689,119,Seaking,Poison Jab,Icy Wind,,81%,66%,117,89
445,78,Rapidash,Low Kick,Drill Run,,71%,92%,117,120
324,57,Primeape,Karate Chop,Cross Chop,,90%,60%,116,77
126,24,Arbok,Acid,Dark Pulse,,73%,100%,93,93
526,91,Cloyster,Ice Shard,Hydro Pump,,92%,95%,143,116
378,67,Machoke,Low Kick,Submission,,85%,91%,114,114
48,8,Wartortle,Bite,Hydro Pump,,91%,75%,125,76
686,119,Seaking,Peck,Icy Wind,,63%,64%,90,87
586,101,Electrode,Tackle,Thunderbolt,,90%,100%,113,99
44,8,Wartortle,Water Gun,Ice Beam,,83%,83%,113,84
43,8,Wartortle,Water Gun,Aqua Jet,4,83%,100%,113,101
450,79,Slowpoke,Water Gun,Water Pulse,40,87%,75%,90,81
70,15,Beedrill,Bug Bite,Aerial Ace,,80%,65%,90,68
677,117,Seadra,Dragon Breath,Blizzard,,85%,83%,112,74
808,142,Aerodactyl,Bite,Ancient Power,,80%,96%,140,142
554,96,Drowzee,Pound,Psychic,,100%,93%,78,68
628,108,Lickitung,Zen Headbutt,Power Whip,,80%,63%,120,85
744,128,Tauros,Zen Headbutt,Iron Head,,79%,81%,117,100
743,128,Tauros,Zen Headbutt,Horn Attack,,78%,94%,116,116
557,96,Drowzee,Confusion,Psychic,,89%,98%,70,71
322,57,Primeape,Low Kick,Low Sweep,,85%,100%,109,128
589,102,Exeggcute,Confusion,Psychic,,100%,93%,69,72
787,139,Omastar,Mud Shot,Ancient Power,,62%,83%,135,134
675,117,Seadra,Water Gun,Dragon Pulse,,82%,100%,108,89
604,105,Marowak,Mud Slap,Dig,56,80%,100%,107,122
534,93,Haunter,Shadow Claw,Shadow Ball,,85%,98%,69,82
509,88,Grimer,Mud Slap,Sludge Bomb,,89%,96%,86,92
